"Human blood","Human skin"
"GO:0140157","GO:0018879"
"GO:0042939","GO:1902425"
"GO:0009235","GO:1902423"
"GO:0006857","GO:0071483"
"GO:0042267","GO:1901301"
"GO:0006285","GO:0009785"
"GO:0002228","GO:0098506"
"GO:0015721","GO:0017126"
"GO:0010837","GO:0042747"
"GO:0055075","GO:0016340"
"GO:0046427","GO:0097528"
"GO:1904894","GO:0097167"
"GO:0030517","GO:0003252"
"GO:0060260","GO:2000323"
"GO:2000142","GO:2000322"
"GO:1904892","GO:0045338"
"GO:0061387","GO:0051987"
"GO:0031589","GO:0070291"
NA,"GO:0009240"
NA,"GO:0046490"
NA,"GO:1902339"
NA,"GO:0000389"
NA,"GO:1904747"
NA,"GO:0007028"
NA,"GO:0002902"
NA,"GO:1902653"
NA,"GO:0006695"
NA,"GO:0071372"
NA,"GO:0070862"
NA,"GO:0042754"
NA,"GO:0002903"
NA,"GO:0016126"
NA,"GO:0016973"
NA,"GO:0046855"
NA,"GO:1902337"
NA,"GO:1904748"
NA,"GO:0032354"
NA,"GO:0009648"
NA,"GO:0043153"
NA,"GO:0071545"
NA,"GO:0046838"
NA,"GO:0032922"
NA,"GO:0070932"
NA,"GO:1901673"
NA,"GO:0042026"
NA,"GO:1902236"
NA,"GO:0009649"
NA,"GO:0032211"
NA,"GO:0036508"
NA,"GO:0036507"
NA,"GO:0033561"
NA,"GO:1904357"
NA,"GO:0032205"
NA,"GO:0007623"
NA,"GO:0006084"
NA,"GO:1904353"
NA,"GO:0046174"
NA,"GO:0046165"
NA,"GO:0090398"
NA,"GO:0048255"
NA,"GO:1900034"
NA,"GO:0044068"
NA,"GO:0071426"
NA,"GO:0071166"
NA,"GO:0033120"
NA,"GO:0043489"
NA,"GO:0006406"
NA,"GO:0071427"
NA,"GO:0006694"
NA,"GO:1902373"
NA,"GO:0006405"
NA,"GO:0051568"
NA,"GO:0000381"
NA,"GO:0008203"
NA,"GO:0032210"
NA,"GO:1903312"
NA,"GO:0006446"
NA,"GO:1902369"
NA,"GO:0032206"
NA,"GO:0051168"
NA,"GO:0042752"
NA,"GO:0070228"
NA,"GO:1902652"
NA,"GO:0016125"
NA,"GO:0045600"
NA,"GO:0051028"
NA,"GO:0098781"
NA,"GO:0009301"
NA,"GO:0031124"
NA,"GO:0048024"
NA,"GO:0007569"
NA,"GO:0075733"
NA,"GO:1904356"
NA,"GO:0061077"
NA,"GO:2001251"
NA,"GO:0006661"
NA,"GO:0046854"
NA,"GO:0051236"
NA,"GO:0042795"
NA,"GO:0048511"
NA,"GO:0050658"
NA,"GO:0050657"
NA,"GO:1902579"
NA,"GO:0044766"
NA,"GO:0006403"
NA,"GO:1901617"
NA,"GO:0008088"
NA,"GO:0043484"
NA,"GO:0031123"
NA,"GO:0043401"
NA,"GO:0032204"
NA,"GO:0050684"
NA,"GO:0006913"
NA,"GO:0014823"
NA,"GO:0006606"
NA,"GO:0034504"
NA,"GO:0006493"
NA,"GO:0051169"
NA,"GO:1990928"
NA,"GO:0046488"
NA,"GO:0045598"
NA,"GO:0097306"
NA,"GO:0008202"
NA,"GO:2001243"
NA,"GO:0006066"
NA,"GO:0051170"
NA,"GO:0000398"
NA,"GO:0000377"
NA,"GO:0031503"
NA,"GO:0008654"
NA,"GO:0000375"
NA,"GO:2001252"
NA,"GO:0032434"
NA,"GO:0015931"
NA,"GO:0006164"
NA,"GO:0007272"
NA,"GO:0006479"
NA,"GO:0008366"
NA,"GO:0008213"
NA,"GO:0008380"
NA,"GO:1905269"
NA,"GO:0006397"
NA,"GO:1903311"
NA,"GO:1903313"
NA,"GO:0051053"
NA,"GO:0040029"
NA,"GO:0071478"
NA,"GO:0061013"
NA,"GO:0009267"
NA,"GO:0072522"
NA,"GO:1903320"
NA,"GO:0032869"
NA,"GO:0031396"
NA,"GO:0043488"
NA,"GO:0046474"
NA,"GO:0006417"
NA,"GO:2000058"
NA,"GO:0006366"
NA,"GO:0031669"
NA,"GO:0019058"
NA,"GO:0043487"
NA,"GO:0033044"
NA,"GO:0010608"
NA,"GO:0090407"
NA,"GO:0006644"
NA,"GO:0017148"
NA,"GO:1901615"
NA,"GO:0045017"
NA,"GO:0043414"
NA,"GO:0016071"
NA,"GO:0032259"
NA,"GO:0090305"
NA,"GO:0006396"
NA,"GO:0071214"
NA,"GO:0104004"
NA,"GO:0030522"
NA,"GO:0071496"
NA,"GO:0006351"
NA,"GO:0097659"
NA,"GO:0008610"
NA,"GO:0034248"
NA,"GO:0032774"
NA,"GO:0042594"
NA,"GO:0006650"
NA,"GO:0006325"
NA,"GO:0031668"
NA,"GO:0016070"
NA,"GO:0016311"
NA,"GO:0010639"
NA,"GO:1901362"
NA,"GO:0046486"
NA,"GO:0051052"
NA,"GO:0031331"
NA,"GO:0080135"
NA,"GO:0016570"
NA,"GO:0045862"
NA,"GO:0051276"
NA,"GO:0016569"
NA,"GO:0033554"
NA,"GO:0034654"
NA,"GO:0009314"
NA,"GO:0019216"
NA,"GO:0010467"
NA,"GO:0031329"
NA,"GO:0090304"
NA,"GO:0032870"
NA,"GO:0009894"
NA,"GO:0034470"
NA,"GO:0005975"
NA,"GO:0045936"
NA,"GO:0032446"
NA,"GO:0010563"
NA,"GO:0034660"
NA,"GO:0019438"
NA,"GO:0031400"
NA,"GO:0018130"
NA,"GO:0031667"
NA,"GO:0006139"
NA,"GO:0009896"
NA,"GO:0070201"
NA,"GO:0016567"
NA,"GO:0070647"
NA,"GO:0032880"
NA,"GO:1901360"
NA,"GO:0051223"
NA,"GO:1903827"
NA,"GO:1903047"
NA,"GO:0046483"
NA,"GO:0006974"
NA,"GO:0019637"
NA,"GO:0060341"
NA,"GO:0006725"
NA,"GO:0051129"
NA,"GO:0006796"
NA,"GO:0051254"
NA,"GO:0006793"
NA,"GO:0043412"
NA,"GO:0045935"
NA,"GO:0000278"
NA,"GO:0034645"
