




Analysis Type:	PANTHER Overrepresentation Test (Released 20210224)
Annotation Version and Release Date:	GO Ontology database DOI:  10.5281/zenodo.4735677 Released 2021-05-01
Analyzed List:	upload_1 (Synechocystis)
Reference List:	cyano_background_go.txt (Synechocystis)
Test Type:	BINOMIAL
Correction:	NONE
GO biological process complete	cyano_background_go.txt - REFLIST (568)	upload_1 (144)	upload_1 (expected)	upload_1 (over/under)	upload_1 (fold Enrichment)	upload_1 (raw P-value)
pyrimidine deoxyribonucleoside diphosphate biosynthetic process (GO:0009197)	1	1	.25	+	3.94	2.24E-01
pyrimidine deoxyribonucleoside diphosphate metabolic process (GO:0009196)	1	1	.25	+	3.94	2.24E-01
vitamin transport (GO:0051180)	1	1	.25	+	3.94	2.24E-01
deoxyribonucleoside diphosphate biosynthetic process (GO:0009189)	1	1	.25	+	3.94	2.24E-01
deoxyribonucleoside diphosphate metabolic process (GO:0009186)	1	1	.25	+	3.94	2.24E-01
cell redox homeostasis (GO:0045454)	1	1	.25	+	3.94	2.24E-01
methylglyoxal catabolic process to D-lactate via S-lactoyl-glutathione (GO:0019243)	1	1	.25	+	3.94	2.24E-01
citrulline biosynthetic process (GO:0019240)	1	1	.25	+	3.94	2.24E-01
peptidyl-S-carbamoyl-L-cysteine dehydration (GO:0046892)	1	1	.25	+	3.94	2.24E-01
ketone catabolic process (GO:0042182)	1	1	.25	+	3.94	2.24E-01
heme catabolic process (GO:0042167)	1	1	.25	+	3.94	2.24E-01
protein import (GO:0017038)	1	1	.25	+	3.94	2.24E-01
negative regulation of cellular amide metabolic process (GO:0034249)	1	1	.25	+	3.94	2.24E-01
regulation of cellular amide metabolic process (GO:0034248)	1	1	.25	+	3.94	2.24E-01
carbohydrate phosphorylation (GO:0046835)	1	1	.25	+	3.94	2.24E-01
negative regulation of gene expression (GO:0010629)	2	2	.51	+	3.94	9.21E-02
posttranscriptional regulation of gene expression (GO:0010608)	1	1	.25	+	3.94	2.24E-01
putrescine biosynthetic process (GO:0009446)	1	1	.25	+	3.94	2.24E-01
putrescine metabolic process (GO:0009445)	1	1	.25	+	3.94	2.24E-01
purine nucleoside biosynthetic process (GO:0042451)	1	1	.25	+	3.94	2.24E-01
methylglyoxal metabolic process (GO:0009438)	1	1	.25	+	3.94	2.24E-01
cytosine metabolic process (GO:0019858)	1	1	.25	+	3.94	2.24E-01
tetrahydrofolate interconversion (GO:0035999)	1	1	.25	+	3.94	2.24E-01
adenine salvage (GO:0006168)	1	1	.25	+	3.94	2.24E-01
purine ribonucleoside salvage (GO:0006166)	1	1	.25	+	3.94	2.24E-01
mRNA modification (GO:0016556)	1	1	.25	+	3.94	2.24E-01
quinolinate biosynthetic process (GO:0019805)	1	1	.25	+	3.94	2.24E-01
