




Analysis Type:	PANTHER Overrepresentation Test (Released 20210224)
Annotation Version and Release Date:	GO Ontology database DOI:  10.5281/zenodo.4735677 Released 2021-05-01
Analyzed List:	upload_1 (Homo sapiens)
Reference List:	human_background.txt (Homo sapiens)
Test Type:	BINOMIAL
Correction:	NONE
GO biological process complete	human_background.txt - REFLIST (16250)	upload_1 (1959)	upload_1 (expected)	upload_1 (over/under)	upload_1 (fold Enrichment)	upload_1 (raw P-value)
ammonium import across plasma membrane (GO:0140157)	3	3	.36	+	8.30	6.02E-03
response to silver ion (GO:0010272)	1	1	.12	+	8.30	1.14E-01
negative regulation of macrophage antigen processing and presentation (GO:0002617)	1	1	.12	+	8.30	1.14E-01
regulation of macrophage antigen processing and presentation (GO:0002616)	1	1	.12	+	8.30	1.14E-01
positive regulation of L-dopa decarboxylase activity (GO:1903200)	1	1	.12	+	8.30	1.14E-01
mesenchymal-epithelial cell signaling involved in lung development (GO:0060496)	1	1	.12	+	8.30	1.14E-01
positive regulation of pro-B cell differentiation (GO:2000975)	1	1	.12	+	8.30	1.14E-01
positive regulation of cytosolic calcium ion concentration involved in egg activation (GO:0060470)	1	1	.12	+	8.30	1.14E-01
bronchiole morphogenesis (GO:0060436)	1	1	.12	+	8.30	1.14E-01
lung pattern specification process (GO:0060432)	1	1	.12	+	8.30	1.14E-01
positive regulation of chondrocyte development (GO:1902761)	1	1	.12	+	8.30	1.14E-01
D-alanine family amino acid metabolic process (GO:0046144)	1	1	.12	+	8.30	1.14E-01
positive regulation of lens fiber cell differentiation (GO:1902748)	1	1	.12	+	8.30	1.14E-01
pyrimidine deoxyribonucleoside catabolic process (GO:0046127)	1	1	.12	+	8.30	1.14E-01
cell gliding (GO:0071976)	1	1	.12	+	8.30	1.14E-01
toll-like receptor 1 signaling pathway (GO:0034130)	1	1	.12	+	8.30	1.14E-01
formation of animal organ boundary (GO:0010160)	1	1	.12	+	8.30	1.14E-01
regulation of L-dopa decarboxylase activity (GO:1903198)	1	1	.12	+	8.30	1.14E-01
positive regulation of L-dopa biosynthetic process (GO:1903197)	1	1	.12	+	8.30	1.14E-01
regulation of L-dopa biosynthetic process (GO:1903195)	1	1	.12	+	8.30	1.14E-01
glyoxal catabolic process (GO:1903190)	1	1	.12	+	8.30	1.14E-01
glyoxal metabolic process (GO:1903189)	1	1	.12	+	8.30	1.14E-01
positive regulation of dopamine biosynthetic process (GO:1903181)	1	1	.12	+	8.30	1.14E-01
regulation of dopamine biosynthetic process (GO:1903179)	1	1	.12	+	8.30	1.14E-01
positive regulation of tyrosine 3-monooxygenase activity (GO:1903178)	1	1	.12	+	8.30	1.14E-01
regulation of tyrosine 3-monooxygenase activity (GO:1903176)	1	1	.12	+	8.30	1.14E-01
positive regulation of pyrroline-5-carboxylate reductase activity (GO:1903168)	1	1	.12	+	8.30	1.14E-01
regulation of pyrroline-5-carboxylate reductase activity (GO:1903167)	1	1	.12	+	8.30	1.14E-01
dibenzo-p-dioxin catabolic process (GO:0019341)	1	1	.12	+	8.30	1.14E-01
ventral midline determination (GO:0007371)	1	1	.12	+	8.30	1.14E-01
negative regulation of TRAIL-activated apoptotic signaling pathway (GO:1903122)	1	1	.12	+	8.30	1.14E-01
protein localization to actin cytoskeleton (GO:1903119)	1	1	.12	+	8.30	1.14E-01
positive regulation of DNA strand elongation (GO:0060383)	1	1	.12	+	8.30	1.14E-01
positive regulation of mast cell differentiation (GO:0060376)	1	1	.12	+	8.30	1.14E-01
negative regulation of metanephric glomerular mesangial cell proliferation (GO:0072302)	1	1	.12	+	8.30	1.14E-01
1-aminocyclopropane-1-carboxylate metabolic process (GO:0018871)	1	1	.12	+	8.30	1.14E-01
UTP catabolic process (GO:0046052)	1	1	.12	+	8.30	1.14E-01
macrophage apoptotic process (GO:0071888)	2	2	.24	+	8.30	2.48E-02
negative regulation of large conductance calcium-activated potassium channel activity (GO:1902607)	1	1	.12	+	8.30	1.14E-01
negative regulation of lipid transporter activity (GO:0110114)	1	1	.12	+	8.30	1.14E-01
malonyl-CoA catabolic process (GO:2001294)	1	1	.12	+	8.30	1.14E-01
negative regulation of death-inducing signaling complex assembly (GO:1903073)	1	1	.12	+	8.30	1.14E-01
regulation of death-inducing signaling complex assembly (GO:1903072)	1	1	.12	+	8.30	1.14E-01
neural crest cell migration involved in sympathetic nervous system development (GO:1903045)	1	1	.12	+	8.30	1.14E-01
positive regulation of chondrocyte hypertrophy (GO:1903043)	1	1	.12	+	8.30	1.14E-01
regulation of chondrocyte hypertrophy (GO:1903041)	1	1	.12	+	8.30	1.14E-01
thigmotaxis (GO:0001966)	1	1	.12	+	8.30	1.14E-01
subthalamus development (GO:0021539)	1	1	.12	+	8.30	1.14E-01
mesenchymal to epithelial transition involved in metanephric renal vesicle formation (GO:0072285)	1	1	.12	+	8.30	1.14E-01
positive regulation of glucosylceramide catabolic process (GO:2000753)	1	1	.12	+	8.30	1.14E-01
regulation of glucosylceramide catabolic process (GO:2000752)	1	1	.12	+	8.30	1.14E-01
negative regulation of cell growth involved in contact inhibition (GO:0060243)	1	1	.12	+	8.30	1.14E-01
positive regulation of mesenchymal cell proliferation involved in ureter development (GO:2000729)	2	2	.24	+	8.30	2.48E-02
vesicle-mediated intercellular transport (GO:0110077)	1	1	.12	+	8.30	1.14E-01
hepatic immune response (GO:0002384)	2	2	.24	+	8.30	2.48E-02
nuclear inner membrane organization (GO:0071765)	1	1	.12	+	8.30	1.14E-01
nicotinamide riboside catabolic process (GO:0006738)	1	1	.12	+	8.30	1.14E-01
estrogen catabolic process (GO:0006711)	1	1	.12	+	8.30	1.14E-01
positive regulation of gamma-delta T cell activation involved in immune response (GO:2001193)	1	1	.12	+	8.30	1.14E-01
regulation of gamma-delta T cell activation involved in immune response (GO:2001191)	1	1	.12	+	8.30	1.14E-01
regulation of histone H2B conserved C-terminal lysine ubiquitination (GO:2001173)	1	1	.12	+	8.30	1.14E-01
regulation of MAPK export from nucleus (GO:0071701)	1	1	.12	+	8.30	1.14E-01
iron-sulfur cluster transmembrane transport (GO:1902497)	1	1	.12	+	8.30	1.14E-01
negative regulation of sperm capacitation (GO:1902491)	1	1	.12	+	8.30	1.14E-01
regulation of sperm capacitation (GO:1902490)	2	2	.24	+	8.30	2.48E-02
somatotropin secreting cell development (GO:0060133)	1	1	.12	+	8.30	1.14E-01
negative regulation of histone H3-K9 acetylation (GO:2000616)	1	1	.12	+	8.30	1.14E-01
phytosphingosine metabolic process (GO:0006671)	1	1	.12	+	8.30	1.14E-01
mastication (GO:0071626)	1	1	.12	+	8.30	1.14E-01
stimulatory killer cell immunoglobulin-like receptor signaling pathway (GO:0002222)	1	1	.12	+	8.30	1.14E-01
phytosphingosine biosynthetic process (GO:0071602)	1	1	.12	+	8.30	1.14E-01
positive regulation of cellular glucuronidation (GO:2001031)	1	1	.12	+	8.30	1.14E-01
regulation of cellular glucuronidation (GO:2001029)	1	1	.12	+	8.30	1.14E-01
neutrophil apoptotic process (GO:0001781)	1	1	.12	+	8.30	1.14E-01
female meiosis sister chromatid cohesion (GO:0007066)	1	1	.12	+	8.30	1.14E-01
extraction of mislocalized protein from ER membrane (GO:0140569)	1	1	.12	+	8.30	1.14E-01
regulation of mitotic spindle elongation (GO:0032888)	1	1	.12	+	8.30	1.14E-01
regulation of spindle elongation (GO:0032887)	1	1	.12	+	8.30	1.14E-01
mesenchymal to epithelial transition involved in renal vesicle formation (GO:0072036)	1	1	.12	+	8.30	1.14E-01
negative regulation of dendritic cell dendrite assembly (GO:2000548)	1	1	.12	+	8.30	1.14E-01
epidermal growth factor receptor signaling pathway via I-kappaB kinase/NF-kappaB cascade (GO:0038168)	1	1	.12	+	8.30	1.14E-01
positive regulation of B cell chemotaxis (GO:2000538)	2	2	.24	+	8.30	2.48E-02
epidermal growth factor receptor signaling pathway via positive regulation of NF-kappaB transcription factor activity (GO:0038167)	1	1	.12	+	8.30	1.14E-01
regulation of B cell chemotaxis (GO:2000537)	2	2	.24	+	8.30	2.48E-02
positive regulation of glycoprotein biosynthetic process involved in immunological synapse formation (GO:2000526)	1	1	.12	+	8.30	1.14E-01
positive regulation of immunological synapse formation (GO:2000522)	1	1	.12	+	8.30	1.14E-01
positive regulation of protein localization to spindle pole body (GO:1902365)	1	1	.12	+	8.30	1.14E-01
regulation of protein localization to spindle pole body (GO:1902363)	1	1	.12	+	8.30	1.14E-01
negative regulation of T-helper 1 cell activation (GO:2000518)	1	1	.12	+	8.30	1.14E-01
regulation of T-helper 1 cell activation (GO:2000517)	1	1	.12	+	8.30	1.14E-01
positive regulation of granzyme A production (GO:2000513)	1	1	.12	+	8.30	1.14E-01
regulation of granzyme A production (GO:2000511)	1	1	.12	+	8.30	1.14E-01
ornithine catabolic process (GO:0006593)	1	1	.12	+	8.30	1.14E-01
ornithine biosynthetic process (GO:0006592)	1	1	.12	+	8.30	1.14E-01
chemokine (C-C motif) ligand 19 signaling pathway (GO:0038115)	1	1	.12	+	8.30	1.14E-01
tRNA re-export from nucleus (GO:0071528)	1	1	.12	+	8.30	1.14E-01
positive regulation of deadenylation-independent decapping of nuclear-transcribed mRNA (GO:1901835)	1	1	.12	+	8.30	1.14E-01
regulation of deadenylation-independent decapping of nuclear-transcribed mRNA (GO:1901834)	1	1	.12	+	8.30	1.14E-01
negative regulation of CD4 production (GO:0045225)	1	1	.12	+	8.30	1.14E-01
calcium ion transmembrane transport via low voltage-gated calcium channel (GO:0090676)	1	1	.12	+	8.30	1.14E-01
regulation of CD4 production (GO:0045223)	1	1	.12	+	8.30	1.14E-01
siderophore-dependent iron import into cell (GO:0033214)	1	1	.12	+	8.30	1.14E-01
iron-sulfur cluster export from the mitochondrion (GO:0140466)	1	1	.12	+	8.30	1.14E-01
pericentric heterochromatin organization (GO:0140462)	2	2	.24	+	8.30	2.48E-02
positive regulation of mast cell activation by Fc-epsilon receptor signaling pathway (GO:0038097)	1	1	.12	+	8.30	1.14E-01
unsaturated monocarboxylic acid metabolic process (GO:0032789)	1	1	.12	+	8.30	1.14E-01
saturated monocarboxylic acid metabolic process (GO:0032788)	1	1	.12	+	8.30	1.14E-01
negative regulation of eosinophil extravasation (GO:2000420)	1	1	.12	+	8.30	1.14E-01
regulation of eosinophil extravasation (GO:2000419)	1	1	.12	+	8.30	1.14E-01
negative regulation of erythrocyte apoptotic process (GO:1902251)	1	1	.12	+	8.30	1.14E-01
regulation of erythrocyte apoptotic process (GO:1902250)	1	1	.12	+	8.30	1.14E-01
negative regulation of T cell extravasation (GO:2000408)	1	1	.12	+	8.30	1.14E-01
negative regulation of positive thymic T cell selection (GO:1902233)	1	1	.12	+	8.30	1.14E-01
negative regulation of acrosome reaction (GO:1902225)	1	1	.12	+	8.30	1.14E-01
endocrine signaling (GO:0038002)	1	1	.12	+	8.30	1.14E-01
peptidyl-glutamic acid poly-ADP-ribosylation (GO:0018424)	1	1	.12	+	8.30	1.14E-01
negative regulation of interleukin-4-mediated signaling pathway (GO:1902215)	1	1	.12	+	8.30	1.14E-01
negative regulation of interleukin-2-mediated signaling pathway (GO:1902206)	1	1	.12	+	8.30	1.14E-01
regulation of interleukin-2-mediated signaling pathway (GO:1902205)	1	1	.12	+	8.30	1.14E-01
positive regulation of hepatocyte growth factor receptor signaling pathway (GO:1902204)	1	1	.12	+	8.30	1.14E-01
glycyl-tRNA aminoacylation (GO:0006426)	1	1	.12	+	8.30	1.14E-01
general adaptation syndrome, behavioral process (GO:0051867)	1	1	.12	+	8.30	1.14E-01
primary miRNA methylation (GO:1990744)	1	1	.12	+	8.30	1.14E-01
asymmetric protein localization involved in cell fate determination (GO:0045167)	1	1	.12	+	8.30	1.14E-01
primary miRNA modification (GO:1990729)	1	1	.12	+	8.30	1.14E-01
cholangiocyte proliferation (GO:1990705)	1	1	.12	+	8.30	1.14E-01
detection of chemical stimulus involved in sensory perception of sour taste (GO:0001581)	2	2	.24	+	8.30	2.48E-02
positive regulation of mesoderm development (GO:2000382)	1	1	.12	+	8.30	1.14E-01
positive regulation of kidney smooth muscle cell differentiation (GO:2000358)	1	1	.12	+	8.30	1.14E-01
negative regulation of kidney smooth muscle cell differentiation (GO:2000357)	1	1	.12	+	8.30	1.14E-01
regulation of kidney smooth muscle cell differentiation (GO:2000356)	1	1	.12	+	8.30	1.14E-01
negative regulation of tumor necrosis factor (ligand) superfamily member 11 production (GO:2000308)	1	1	.12	+	8.30	1.14E-01
termination of RNA polymerase III transcription (GO:0006386)	1	1	.12	+	8.30	1.14E-01
negative regulation of timing of catagen (GO:0051796)	1	1	.12	+	8.30	1.14E-01
cellular response to interleukin-11 (GO:0071348)	1	1	.12	+	8.30	1.14E-01
diphosphate metabolic process (GO:0071344)	2	2	.24	+	8.30	2.48E-02
positive regulation of hair follicle cell proliferation (GO:0071338)	1	1	.12	+	8.30	1.14E-01
regulation of hair follicle cell proliferation (GO:0071336)	1	1	.12	+	8.30	1.14E-01
dibasic protein processing (GO:0090472)	1	1	.12	+	8.30	1.14E-01
endocytic iron import into cell (GO:0140298)	1	1	.12	+	8.30	1.14E-01
positive regulation of cellular amino acid biosynthetic process (GO:2000284)	1	1	.12	+	8.30	1.14E-01
positive regulation of oxidative phosphorylation uncoupler activity (GO:2000277)	1	1	.12	+	8.30	1.14E-01
tripeptide import across plasma membrane (GO:0140207)	1	1	.12	+	8.30	1.14E-01
adenylate cyclase-activating adrenergic receptor signaling pathway involved in regulation of heart rate (GO:0140200)	1	1	.12	+	8.30	1.14E-01
modulation by symbiont of host catalytic activity (GO:0052148)	1	1	.12	+	8.30	1.14E-01
omega-hydroxyceramide biosynthetic process (GO:0106342)	1	1	.12	+	8.30	1.14E-01
protein sulfhydration (GO:0044524)	1	1	.12	+	8.30	1.14E-01
protein-pyridoxal-5-phosphate linkage via peptidyl-N6-pyridoxal phosphate-L-lysine (GO:0018272)	1	1	.12	+	8.30	1.14E-01
negative regulation of translation in response to endoplasmic reticulum stress (GO:1902010)	1	1	.12	+	8.30	1.14E-01
CTP catabolic process (GO:0006254)	1	1	.12	+	8.30	1.14E-01
peptidyl-serine trans-autophosphorylation (GO:1990579)	1	1	.12	+	8.30	1.14E-01
cellular response to carbon monoxide (GO:0071245)	1	1	.12	+	8.30	1.14E-01
thymidine catabolic process (GO:0006214)	1	1	.12	+	8.30	1.14E-01
regulation of cellular response to alcohol (GO:1905957)	1	1	.12	+	8.30	1.14E-01
mitochondrial manganese ion transmembrane transport (GO:1990540)	1	1	.12	+	8.30	1.14E-01
fructose import across plasma membrane (GO:1990539)	1	1	.12	+	8.30	1.14E-01
response to fenofibrate (GO:1901557)	1	1	.12	+	8.30	1.14E-01
response to raffinose (GO:1901545)	1	1	.12	+	8.30	1.14E-01
positive regulation of chylomicron remnant clearance (GO:0090321)	1	1	.12	+	8.30	1.14E-01
regulation of chylomicron remnant clearance (GO:0090320)	1	1	.12	+	8.30	1.14E-01
adenohypophysis morphogenesis (GO:0048855)	1	1	.12	+	8.30	1.14E-01
negative regulation of deadenylation-dependent decapping of nuclear-transcribed mRNA (GO:0106289)	1	1	.12	+	8.30	1.14E-01
regulation of deadenylation-dependent decapping of nuclear-transcribed mRNA (GO:0106288)	1	1	.12	+	8.30	1.14E-01
positive regulation of pro-T cell differentiation (GO:2000176)	1	1	.12	+	8.30	1.14E-01
regulation of pro-T cell differentiation (GO:2000174)	1	1	.12	+	8.30	1.14E-01
negative regulation by symbiont of host catalytic activity (GO:0052053)	1	1	.12	+	8.30	1.14E-01
fructose import (GO:0032445)	1	1	.12	+	8.30	1.14E-01
negative regulation of sodium-dependent phosphate transport (GO:2000119)	1	1	.12	+	8.30	1.14E-01
negative regulation of postsynaptic density organization (GO:1905875)	1	1	.12	+	8.30	1.14E-01
cellular response to pyrimidine ribonucleotide (GO:1905835)	1	1	.12	+	8.30	1.14E-01
response to pyrimidine ribonucleotide (GO:1905834)	1	1	.12	+	8.30	1.14E-01
response to interleukin-11 (GO:0071105)	1	1	.12	+	8.30	1.14E-01
positive regulation of chromatin silencing at telomere (GO:0031940)	1	1	.12	+	8.30	1.14E-01
regulation of response to alcohol (GO:1901419)	1	1	.12	+	8.30	1.14E-01
retinoic acid receptor signaling pathway involved in somitogenesis (GO:0090242)	1	1	.12	+	8.30	1.14E-01
peptidyl-lysine butyrylation (GO:0140067)	1	1	.12	+	8.30	1.14E-01
peptidyl-lysine crotonylation (GO:0140066)	1	1	.12	+	8.30	1.14E-01
pyridine nucleoside catabolic process (GO:0070638)	1	1	.12	+	8.30	1.14E-01
pyridine nucleoside metabolic process (GO:0070637)	1	1	.12	+	8.30	1.14E-01
positive regulation of canonical Wnt signaling pathway involved in controlling type B pancreatic cell proliferation (GO:2000081)	1	1	.12	+	8.30	1.14E-01
cellular detoxification of methylglyoxal (GO:0140041)	1	1	.12	+	8.30	1.14E-01
positive regulation of ureter smooth muscle cell differentiation (GO:2000063)	1	1	.12	+	8.30	1.14E-01
negative regulation of ureter smooth muscle cell differentiation (GO:2000062)	1	1	.12	+	8.30	1.14E-01
regulation of ureter smooth muscle cell differentiation (GO:2000061)	1	1	.12	+	8.30	1.14E-01
negative regulation of cardiac cell fate specification (GO:2000044)	1	1	.12	+	8.30	1.14E-01
protein polyglycylation (GO:0018094)	1	1	.12	+	8.30	1.14E-01
positive regulation of cobalamin metabolic process (GO:0106121)	1	1	.12	+	8.30	1.14E-01
cytochrome c-heme linkage (GO:0018063)	1	1	.12	+	8.30	1.14E-01
protein amidation (GO:0018032)	1	1	.12	+	8.30	1.14E-01
CMP-N-acetylneuraminate biosynthetic process (GO:0006055)	1	1	.12	+	8.30	1.14E-01
NMDA selective glutamate receptor signaling pathway (GO:0098989)	1	1	.12	+	8.30	1.14E-01
strand displacement (GO:0000732)	1	1	.12	+	8.30	1.14E-01
sno(s)RNA polyadenylation (GO:0071050)	1	1	.12	+	8.30	1.14E-01
meiotic DNA recombinase assembly (GO:0000707)	1	1	.12	+	8.30	1.14E-01
negative regulation of cardioblast cell fate specification (GO:0009997)	1	1	.12	+	8.30	1.14E-01
monopolar spindle attachment to meiosis I kinetochore (GO:0051455)	1	1	.12	+	8.30	1.14E-01
positive regulation of transforming growth factor beta1 activation (GO:1901394)	1	1	.12	+	8.30	1.14E-01
regulation of transforming growth factor beta1 activation (GO:1901392)	1	1	.12	+	8.30	1.14E-01
hard palate morphogenesis (GO:1905748)	1	1	.12	+	8.30	1.14E-01
negative regulation of saliva secretion (GO:1905747)	1	1	.12	+	8.30	1.14E-01
response to cortisone (GO:0051413)	1	1	.12	+	8.30	1.14E-01
positive regulation of inhibitory synapse assembly (GO:1905704)	2	2	.24	+	8.30	2.48E-02
polarity specification of anterior/posterior axis (GO:0009949)	2	2	.24	+	8.30	2.48E-02
negative regulation of heart induction (GO:1901320)	1	1	.12	+	8.30	1.14E-01
cell-cell adhesion involved in gastrulation (GO:0070586)	1	1	.12	+	8.30	1.14E-01
establishment of protein localization to mitochondrial membrane involved in mitochondrial fission (GO:0090152)	1	1	.12	+	8.30	1.14E-01
regulation of actin cytoskeleton organization by cell-cell adhesion (GO:0090138)	1	1	.12	+	8.30	1.14E-01
negative regulation of cell adhesion involved in sprouting angiogenesis (GO:0106089)	1	1	.12	+	8.30	1.14E-01
regulation of cell adhesion involved in sprouting angiogenesis (GO:0106088)	1	1	.12	+	8.30	1.14E-01
regulation of cobalamin metabolic process (GO:0106064)	1	1	.12	+	8.30	1.14E-01
spermidine deacetylation (GO:0106048)	1	1	.12	+	8.30	1.14E-01
polyamine deacetylation (GO:0106047)	1	1	.12	+	8.30	1.14E-01
guanine deglycation, glyoxal removal (GO:0106046)	1	1	.12	+	8.30	1.14E-01
guanine deglycation, methylglyoxal removal (GO:0106045)	1	1	.12	+	8.30	1.14E-01
guanine deglycation (GO:0106044)	1	1	.12	+	8.30	1.14E-01
'de novo' AMP biosynthetic process (GO:0044208)	1	1	.12	+	8.30	1.14E-01
positive regulation of polysome binding (GO:1905698)	1	1	.12	+	8.30	1.14E-01
anti-Mullerian hormone signaling pathway (GO:1990262)	1	1	.12	+	8.30	1.14E-01
attachment of spindle microtubules to kinetochore involved in meiotic chromosome segregation (GO:0051316)	1	1	.12	+	8.30	1.14E-01
male meiosis chromosome separation (GO:0051308)	1	1	.12	+	8.30	1.14E-01
negative regulation of convergent extension involved in axis elongation (GO:1901233)	1	1	.12	+	8.30	1.14E-01
regulation of convergent extension involved in axis elongation (GO:1901232)	1	1	.12	+	8.30	1.14E-01
positive regulation of non-canonical Wnt signaling pathway via JNK cascade (GO:1901231)	1	1	.12	+	8.30	1.14E-01
regulation of non-canonical Wnt signaling pathway via JNK cascade (GO:1901229)	1	1	.12	+	8.30	1.14E-01
negative regulation of extracellular matrix assembly (GO:1901202)	1	1	.12	+	8.30	1.14E-01
thyroid-stimulating hormone secretion (GO:0070460)	1	1	.12	+	8.30	1.14E-01
glutathione deglycation (GO:0036531)	1	1	.12	+	8.30	1.14E-01
