




Analysis Type:	PANTHER Overrepresentation Test (Released 20210224)
Annotation Version and Release Date:	GO Ontology database DOI:  10.5281/zenodo.4735677 Released 2021-05-01
Analyzed List:	upload_1 (Mus musculus)
Reference List:	mouse_background.txt (Mus musculus)	There are duplicate IDs in the file. The unique set of IDs will be used.
Test Type:	BINOMIAL
Correction:	NONE
GO biological process complete	mouse_background.txt - REFLIST (18060)	upload_1 (4777)	upload_1 (expected)	upload_1 (over/under)	upload_1 (fold Enrichment)	upload_1 (raw P-value)
mitochondrial fragmentation involved in apoptotic process (GO:0043653)	9	9	2.38	+	3.78	8.12E-04
quinolinate catabolic process (GO:0034213)	1	1	.26	+	3.78	2.32E-01
response to oleic acid (GO:0034201)	2	2	.53	+	3.78	9.91E-02
SCF complex assembly (GO:0010265)	2	2	.53	+	3.78	9.91E-02
positive regulation of tolerance induction to self antigen (GO:0002651)	1	1	.26	+	3.78	2.32E-01
positive regulation of cell volume (GO:0045795)	1	1	.26	+	3.78	2.32E-01
arginine catabolic process to proline (GO:0019493)	1	1	.26	+	3.78	2.32E-01
positive regulation of hydrogen peroxide catabolic process (GO:1903285)	1	1	.26	+	3.78	2.32E-01
positive regulation of glutathione peroxidase activity (GO:1903284)	1	1	.26	+	3.78	2.32E-01
regulation of glutathione peroxidase activity (GO:1903282)	1	1	.26	+	3.78	2.32E-01
negative regulation of calcium:sodium antiporter activity (GO:1903280)	1	1	.26	+	3.78	2.32E-01
beta-alanine biosynthetic process (GO:0019483)	1	1	.26	+	3.78	2.32E-01
L-lysine catabolic process (GO:0019477)	2	2	.53	+	3.78	9.91E-02
L-lysine catabolic process to acetyl-CoA (GO:0019474)	1	1	.26	+	3.78	2.32E-01
4-hydroxyproline metabolic process (GO:0019471)	1	1	.26	+	3.78	2.32E-01
4-hydroxyproline catabolic process (GO:0019470)	1	1	.26	+	3.78	2.32E-01
lateral geniculate nucleus development (GO:0021771)	1	1	.26	+	3.78	2.32E-01
posterior midgut development (GO:0007497)	1	1	.26	+	3.78	2.32E-01
endodermal cell fate determination (GO:0007493)	2	2	.53	+	3.78	9.91E-02
orbitofrontal cortex development (GO:0021769)	2	2	.53	+	3.78	9.91E-02
nucleus accumbens development (GO:0021768)	1	1	.26	+	3.78	2.32E-01
negative regulation of citrulline biosynthetic process (GO:1903249)	1	1	.26	+	3.78	2.32E-01
regulation of citrulline biosynthetic process (GO:1903248)	1	1	.26	+	3.78	2.32E-01
L-cysteine catabolic process to taurine (GO:0019452)	2	2	.53	+	3.78	9.91E-02
L-cysteine catabolic process to hypotaurine (GO:0019449)	1	1	.26	+	3.78	2.32E-01
positive regulation of calcium ion-dependent exocytosis of neurotransmitter (GO:1903235)	1	1	.26	+	3.78	2.32E-01
principal sensory nucleus of trigeminal nerve development (GO:0021740)	2	2	.53	+	3.78	9.91E-02
trigeminal sensory nucleus development (GO:0021730)	2	2	.53	+	3.78	9.91E-02
negative regulation of behavioral fear response (GO:2000986)	1	1	.26	+	3.78	2.32E-01
hexitol catabolic process (GO:0019407)	1	1	.26	+	3.78	2.32E-01
hexitol biosynthetic process (GO:0019406)	1	1	.26	+	3.78	2.32E-01
regulation of ATP citrate synthase activity (GO:2000983)	1	1	.26	+	3.78	2.32E-01
galactitol metabolic process (GO:0019402)	1	1	.26	+	3.78	2.32E-01
regulation of systemic arterial blood pressure by neurotransmitter (GO:0003070)	1	1	.26	+	3.78	2.32E-01
acetylcholine-mediated vasodilation involved in regulation of systemic arterial blood pressure (GO:0003069)	1	1	.26	+	3.78	2.32E-01
regulation of systemic arterial blood pressure by acetylcholine (GO:0003068)	1	1	.26	+	3.78	2.32E-01
positive regulation of the force of heart contraction by epinephrine (GO:0003059)	1	1	.26	+	3.78	2.32E-01
activation of meiosis involved in egg activation (GO:0060466)	2	2	.53	+	3.78	9.91E-02
acetaldehyde biosynthetic process (GO:0046186)	1	1	.26	+	3.78	2.32E-01
positive regulation of choline O-acetyltransferase activity (GO:1902771)	1	1	.26	+	3.78	2.32E-01
regulation of choline O-acetyltransferase activity (GO:1902769)	1	1	.26	+	3.78	2.32E-01
involuntary skeletal muscle contraction (GO:0003011)	4	4	1.06	+	3.78	2.27E-02
4-nitrophenol metabolic process (GO:0018960)	2	2	.53	+	3.78	9.91E-02
negative regulation of toll-like receptor 9 signaling pathway (GO:0034164)	2	2	.53	+	3.78	9.91E-02
positive regulation of toll-like receptor 8 signaling pathway (GO:0034161)	2	2	.53	+	3.78	9.91E-02
negative regulation of growth hormone receptor signaling pathway (GO:0060400)	2	2	.53	+	3.78	9.91E-02
regulation of toll-like receptor 8 signaling pathway (GO:0034159)	2	2	.53	+	3.78	9.91E-02
negative regulation of proteoglycan biosynthetic process (GO:1902729)	1	1	.26	+	3.78	2.32E-01
guanosine catabolic process (GO:0046115)	1	1	.26	+	3.78	2.32E-01
mandelate metabolic process (GO:0018924)	1	1	.26	+	3.78	2.32E-01
toll-like receptor 1 signaling pathway (GO:0034130)	1	1	.26	+	3.78	2.32E-01
extracellular exosome assembly (GO:0071971)	1	1	.26	+	3.78	2.32E-01
establishment or maintenance of cell polarity regulating cell shape (GO:0071963)	2	2	.53	+	3.78	9.91E-02
vitamin E biosynthetic process (GO:0010189)	1	1	.26	+	3.78	2.32E-01
positive regulation of cellular defense response (GO:0010186)	1	1	.26	+	3.78	2.32E-01
regulation of cellular defense response (GO:0010185)	1	1	.26	+	3.78	2.32E-01
basophil chemotaxis (GO:0002575)	1	1	.26	+	3.78	2.32E-01
basophil degranulation (GO:0002561)	1	1	.26	+	3.78	2.32E-01
basophil mediated immunity (GO:0002560)	1	1	.26	+	3.78	2.32E-01
activation of blood coagulation via clotting cascade (GO:0002543)	1	1	.26	+	3.78	2.32E-01
synchronous neurotransmitter secretion (GO:0071911)	1	1	.26	+	3.78	2.32E-01
acute inflammatory response to non-antigenic stimulus (GO:0002525)	1	1	.26	+	3.78	2.32E-01
arginine catabolic process to proline via ornithine (GO:0010121)	1	1	.26	+	3.78	2.32E-01
antigen processing and presentation of polysaccharide antigen via MHC class II (GO:0002505)	1	1	.26	+	3.78	2.32E-01
cerebellar Purkinje cell layer maturation (GO:0021691)	2	2	.53	+	3.78	9.91E-02
nerve maturation (GO:0021682)	1	1	.26	+	3.78	2.32E-01
lysobisphosphatidic acid metabolic process (GO:2001311)	2	2	.53	+	3.78	9.91E-02
pyridine nucleotide salvage (GO:0019365)	1	1	.26	+	3.78	2.32E-01
negative regulation of establishment of endothelial barrier (GO:1903141)	2	2	.53	+	3.78	9.91E-02
ventral midline determination (GO:0007371)	1	1	.26	+	3.78	2.32E-01
negative regulation of centriole-centriole cohesion (GO:1903126)	1	1	.26	+	3.78	2.32E-01
negative regulation of thioredoxin peroxidase activity by peptidyl-threonine phosphorylation (GO:1903125)	1	1	.26	+	3.78	2.32E-01
oxalate metabolic process (GO:0033609)	1	1	.26	+	3.78	2.32E-01
flavin adenine dinucleotide catabolic process (GO:0072389)	1	1	.26	+	3.78	2.32E-01
amylopectin metabolic process (GO:2000896)	1	1	.26	+	3.78	2.32E-01
blood coagulation, common pathway (GO:0072377)	1	1	.26	+	3.78	2.32E-01
inositol catabolic process (GO:0019310)	1	1	.26	+	3.78	2.32E-01
1-phosphatidyl-1D-myo-inositol 3,5-bisphosphate metabolic process (GO:1903100)	1	1	.26	+	3.78	2.32E-01
D-ribose catabolic process (GO:0019303)	1	1	.26	+	3.78	2.32E-01
positive regulation of dipeptide transport (GO:2000880)	2	2	.53	+	3.78	9.91E-02
positive regulation of oligopeptide transport (GO:2000878)	2	2	.53	+	3.78	9.91E-02
synapse assembly involved in innervation (GO:0060386)	1	1	.26	+	3.78	2.32E-01
positive regulation of DNA strand elongation (GO:0060383)	1	1	.26	+	3.78	2.32E-01
regulation of DNA strand elongation (GO:0060382)	2	2	.53	+	3.78	9.91E-02
positive regulation of estrogen secretion (GO:2000863)	1	1	.26	+	3.78	2.32E-01
regulation of estrogen secretion (GO:2000861)	1	1	.26	+	3.78	2.32E-01
guanine biosynthetic process (GO:0046099)	1	1	.26	+	3.78	2.32E-01
deoxyinosine metabolic process (GO:0046094)	2	2	.53	+	3.78	9.91E-02
cellular lactam metabolic process (GO:0072338)	2	2	.53	+	3.78	9.91E-02
coronal suture morphogenesis (GO:0060365)	1	1	.26	+	3.78	2.32E-01
adenosine biosynthetic process (GO:0046086)	1	1	.26	+	3.78	2.32E-01
negative regulation of testosterone secretion (GO:2000844)	1	1	.26	+	3.78	2.32E-01
dTDP metabolic process (GO:0046072)	2	2	.53	+	3.78	9.91E-02
positive regulation of parathyroid hormone secretion (GO:2000830)	2	2	.53	+	3.78	9.91E-02
cGMP catabolic process (GO:0046069)	4	4	1.06	+	3.78	2.27E-02
dCDP metabolic process (GO:0046062)	1	1	.26	+	3.78	2.32E-01
negative regulation of axon guidance (GO:1902668)	1	1	.26	+	3.78	2.32E-01
regulation of mRNA stability involved in response to oxidative stress (GO:2000815)	2	2	.53	+	3.78	9.91E-02
UTP catabolic process (GO:0046052)	1	1	.26	+	3.78	2.32E-01
negative regulation of synaptic vesicle clustering (GO:2000808)	1	1	.26	+	3.78	2.32E-01
histone H2B conserved C-terminal lysine ubiquitination (GO:0071894)	1	1	.26	+	3.78	2.32E-01
asparagine transport (GO:0006867)	1	1	.26	+	3.78	2.32E-01
pyrimidine nucleotide transport (GO:0006864)	2	2	.53	+	3.78	9.91E-02
cellular response to fluoride (GO:1902618)	1	1	.26	+	3.78	2.32E-01
negative regulation of adenylate cyclase-activating adrenergic receptor signaling pathway (GO:0071878)	4	4	1.06	+	3.78	2.27E-02
negative regulation of large conductance calcium-activated potassium channel activity (GO:1902607)	1	1	.26	+	3.78	2.32E-01
heterotrimeric G-protein complex assembly (GO:1902605)	1	1	.26	+	3.78	2.32E-01
carnitine transmembrane transport (GO:1902603)	2	2	.53	+	3.78	9.91E-02
apoptotic process in bone marrow cell (GO:0071839)	1	1	.26	+	3.78	2.32E-01
cell proliferation in bone marrow (GO:0071838)	1	1	.26	+	3.78	2.32E-01
amylopectin biosynthetic process (GO:0010021)	1	1	.26	+	3.78	2.32E-01
protein galactosylation at cell surface (GO:0033580)	1	1	.26	+	3.78	2.32E-01
positive regulation of ammonia assimilation cycle (GO:2001250)	1	1	.26	+	3.78	2.32E-01
protein glycosylation at cell surface (GO:0033575)	1	1	.26	+	3.78	2.32E-01
regulation of ammonia assimilation cycle (GO:2001248)	1	1	.26	+	3.78	2.32E-01
negative regulation of phosphatidylcholine biosynthetic process (GO:2001246)	1	1	.26	+	3.78	2.32E-01
negative regulation of death-inducing signaling complex assembly (GO:1903073)	1	1	.26	+	3.78	2.32E-01
regulation of death-inducing signaling complex assembly (GO:1903072)	1	1	.26	+	3.78	2.32E-01
negative regulation of vasculogenesis (GO:2001213)	2	2	.53	+	3.78	9.91E-02
rhombomere 6 development (GO:0021572)	1	1	.26	+	3.78	2.32E-01
positive regulation of heart rate involved in baroreceptor response to decreased systemic arterial blood pressure (GO:0001988)	1	1	.26	+	3.78	2.32E-01
negative regulation of the force of heart contraction involved in baroreceptor response to increased systemic arterial blood pressure (GO:0001986)	1	1	.26	+	3.78	2.32E-01
negative regulation of heart rate involved in baroreceptor response to increased systemic arterial blood pressure (GO:0001985)	1	1	.26	+	3.78	2.32E-01
L-lysine catabolic process to acetyl-CoA via L-pipecolate (GO:0033514)	1	1	.26	+	3.78	2.32E-01
metanephric connecting tubule development (GO:0072286)	1	1	.26	+	3.78	2.32E-01
mesenchymal to epithelial transition involved in metanephric renal vesicle formation (GO:0072285)	1	1	.26	+	3.78	2.32E-01
negative regulation of epithelial cell proliferation involved in lung morphogenesis (GO:2000795)	1	1	.26	+	3.78	2.32E-01
positive regulation of Lys63-specific deubiquitinase activity (GO:1903007)	1	1	.26	+	3.78	2.32E-01
positive regulation of protein K63-linked deubiquitination (GO:1903006)	1	1	.26	+	3.78	2.32E-01
negative regulation of mesenchymal cell proliferation involved in lung development (GO:2000791)	2	2	.53	+	3.78	9.91E-02
regulation of mesenchymal cell proliferation involved in lung development (GO:2000790)	2	2	.53	+	3.78	9.91E-02
regulation of protein K63-linked deubiquitination (GO:1903004)	1	1	.26	+	3.78	2.32E-01
osmosensory signaling pathway (GO:0007231)	2	2	.53	+	3.78	9.91E-02
roof plate formation (GO:0021509)	1	1	.26	+	3.78	2.32E-01
metanephric interstitial fibroblast development (GO:0072259)	1	1	.26	+	3.78	2.32E-01
metanephric interstitial fibroblast differentiation (GO:0072258)	1	1	.26	+	3.78	2.32E-01
patched ligand maturation (GO:0007225)	1	1	.26	+	3.78	2.32E-01
negative regulation of oocyte development (GO:0060283)	1	1	.26	+	3.78	2.32E-01
positive regulation of oocyte development (GO:0060282)	2	2	.53	+	3.78	9.91E-02
positive regulation of N-terminal peptidyl-lysine acetylation (GO:2000761)	1	1	.26	+	3.78	2.32E-01
metanephric DCT cell differentiation (GO:0072240)	1	1	.26	+	3.78	2.32E-01
regulation of N-terminal peptidyl-lysine acetylation (GO:2000759)	1	1	.26	+	3.78	2.32E-01
metanephric proximal tubule development (GO:0072237)	1	1	.26	+	3.78	2.32E-01
metanephric proximal convoluted tubule segment 2 development (GO:0072232)	1	1	.26	+	3.78	2.32E-01
activation of membrane attack complex (GO:0001905)	1	1	.26	+	3.78	2.32E-01
metanephric proximal straight tubule development (GO:0072230)	1	1	.26	+	3.78	2.32E-01
negative regulation of N-terminal protein palmitoylation (GO:0060262)	1	1	.26	+	3.78	2.32E-01
metanephric proximal convoluted tubule development (GO:0072229)	1	1	.26	+	3.78	2.32E-01
metanephric macula densa development (GO:0072227)	1	1	.26	+	3.78	2.32E-01
metanephric descending thin limb development (GO:0072220)	1	1	.26	+	3.78	2.32E-01
regulation of N-terminal protein palmitoylation (GO:0060254)	1	1	.26	+	3.78	2.32E-01
negative regulation of metanephros development (GO:0072217)	1	1	.26	+	3.78	2.32E-01
metanephric smooth muscle tissue development (GO:0072208)	1	1	.26	+	3.78	2.32E-01
metanephric juxtaglomerular apparatus development (GO:0072206)	1	1	.26	+	3.78	2.32E-01
positive regulation of catalase activity (GO:1902553)	1	1	.26	+	3.78	2.32E-01
regulation of catalase activity (GO:1902551)	1	1	.26	+	3.78	2.32E-01
regulation of angiotensin-activated signaling pathway (GO:0110061)	2	2	.53	+	3.78	9.91E-02
endoplasmic reticulum tubular network maintenance (GO:0071788)	1	1	.26	+	3.78	2.32E-01
AMP phosphorylation (GO:0006756)	1	1	.26	+	3.78	2.32E-01
nuclear inner membrane organization (GO:0071765)	1	1	.26	+	3.78	2.32E-01
ncRNA deadenylation (GO:0110008)	1	1	.26	+	3.78	2.32E-01
triterpenoid metabolic process (GO:0006722)	1	1	.26	+	3.78	2.32E-01
sodium-independent prostaglandin transport (GO:0071720)	1	1	.26	+	3.78	2.32E-01
sodium-independent icosanoid transport (GO:0071718)	2	2	.53	+	3.78	9.91E-02
cholesterol biosynthetic process via lathosterol (GO:0033490)	1	1	.26	+	3.78	2.32E-01
negative regulation of histone H3-K79 methylation (GO:2001161)	1	1	.26	+	3.78	2.32E-01
cholesterol biosynthetic process via desmosterol (GO:0033489)	1	1	.26	+	3.78	2.32E-01
positive regulation of renal water transport (GO:2001153)	1	1	.26	+	3.78	2.32E-01
regulation of renal water transport (GO:2001151)	1	1	.26	+	3.78	2.32E-01
positive regulation of dipeptide transmembrane transport (GO:2001150)	2	2	.53	+	3.78	9.91E-02
regulation of dipeptide transmembrane transport (GO:2001148)	2	2	.53	+	3.78	9.91E-02
negative regulation of cellular response to hepatocyte growth factor stimulus (GO:2001113)	1	1	.26	+	3.78	2.32E-01
regulation of cellular response to hepatocyte growth factor stimulus (GO:2001112)	1	1	.26	+	3.78	2.32E-01
transmembrane receptor protein tyrosine phosphatase signaling pathway (GO:0007185)	1	1	.26	+	3.78	2.32E-01
metanephric cap morphogenesis (GO:0072186)	1	1	.26	+	3.78	2.32E-01
metanephric cap development (GO:0072185)	1	1	.26	+	3.78	2.32E-01
renal vesicle progenitor cell differentiation (GO:0072184)	1	1	.26	+	3.78	2.32E-01
negative regulation of nephron tubule epithelial cell differentiation (GO:0072183)	1	1	.26	+	3.78	2.32E-01
protein insertion into mitochondrial membrane involved in apoptotic signaling pathway (GO:0001844)	1	1	.26	+	3.78	2.32E-01
specification of posterior mesonephric tubule identity (GO:0072169)	1	1	.26	+	3.78	2.32E-01
specification of anterior mesonephric tubule identity (GO:0072168)	1	1	.26	+	3.78	2.32E-01
specification of mesonephric tubule identity (GO:0072167)	1	1	.26	+	3.78	2.32E-01
anterior mesonephric tubule development (GO:0072165)	1	1	.26	+	3.78	2.32E-01
male somatic sex determination (GO:0019102)	1	1	.26	+	3.78	2.32E-01
nephron tubule epithelial cell differentiation (GO:0072160)	2	2	.53	+	3.78	9.91E-02
apelin receptor signaling pathway (GO:0060183)	2	2	.53	+	3.78	9.91E-02
positive regulation of interleukin-1-mediated signaling pathway (GO:2000661)	1	1	.26	+	3.78	2.32E-01
negative regulation of type I hypersensitivity (GO:0001811)	1	1	.26	+	3.78	2.32E-01
glomerular parietal epithelial cell differentiation (GO:0072139)	1	1	.26	+	3.78	2.32E-01
iron-sulfur cluster transmembrane transport (GO:1902497)	1	1	.26	+	3.78	2.32E-01
release of matrix enzymes from mitochondria (GO:0032976)	1	1	.26	+	3.78	2.32E-01
amino acid transmembrane export from vacuole (GO:0032974)	1	1	.26	+	3.78	2.32E-01
amino acid export across plasma membrane (GO:0032973)	1	1	.26	+	3.78	2.32E-01
milk ejection reflex (GO:0060156)	1	1	.26	+	3.78	2.32E-01
putrescine acetylation (GO:0032920)	1	1	.26	+	3.78	2.32E-01
positive regulation of male mating behavior (GO:1902437)	2	2	.53	+	3.78	9.91E-02
spermine acetylation (GO:0032919)	1	1	.26	+	3.78	2.32E-01
phytosphingosine metabolic process (GO:0006671)	1	1	.26	+	3.78	2.32E-01
protein transport within extracellular region (GO:0071693)	1	1	.26	+	3.78	2.32E-01
1,2-diacyl-sn-glycero-3-phosphocholine metabolic process (GO:0006653)	1	1	.26	+	3.78	2.32E-01
phospholipid transfer to membrane (GO:0006649)	2	2	.53	+	3.78	9.91E-02
eosinophil activation involved in immune response (GO:0002278)	2	2	.53	+	3.78	9.91E-02
modulation by host of viral RNA-binding transcription factor activity (GO:1990969)	1	1	.26	+	3.78	2.32E-01
modulation by host of RNA binding by virus (GO:1990968)	1	1	.26	+	3.78	2.32E-01
tissue kallikrein-kinin cascade (GO:0002255)	1	1	.26	+	3.78	2.32E-01
homogentisate metabolic process (GO:1901999)	1	1	.26	+	3.78	2.32E-01
creatine biosynthetic process (GO:0006601)	2	2	.53	+	3.78	9.91E-02
creatine metabolic process (GO:0006600)	2	2	.53	+	3.78	9.91E-02
endothelial cell-cell adhesion (GO:0071603)	2	2	.53	+	3.78	9.91E-02
phytosphingosine biosynthetic process (GO:0071602)	1	1	.26	+	3.78	2.32E-01
beta-alanine biosynthetic process via 3-ureidopropionate (GO:0033396)	1	1	.26	+	3.78	2.32E-01
putrescine biosynthetic process from arginine, using agmatinase (GO:0033389)	1	1	.26	+	3.78	2.32E-01
putrescine biosynthetic process from arginine (GO:0033388)	1	1	.26	+	3.78	2.32E-01
maintenance of granzyme B location in T cell secretory granule (GO:0033382)	1	1	.26	+	3.78	2.32E-01
granzyme B localization to T cell secretory granule (GO:0033380)	1	1	.26	+	3.78	2.32E-01
positive regulation of tendon cell differentiation (GO:2001051)	1	1	.26	+	3.78	2.32E-01
negative regulation of MHC class I biosynthetic process (GO:0045344)	1	1	.26	+	3.78	2.32E-01
maintenance of protease location in T cell secretory granule (GO:0033379)	1	1	.26	+	3.78	2.32E-01
maintenance of protein location in T cell secretory granule (GO:0033377)	1	1	.26	+	3.78	2.32E-01
protease localization to T cell secretory granule (GO:0033375)	1	1	.26	+	3.78	2.32E-01
protein localization to T cell secretory granule (GO:0033374)	1	1	.26	+	3.78	2.32E-01
maintenance of protease location in mast cell secretory granule (GO:0033373)	1	1	.26	+	3.78	2.32E-01
regulation of tendon cell differentiation (GO:2001049)	1	1	.26	+	3.78	2.32E-01
T cell secretory granule organization (GO:0033371)	1	1	.26	+	3.78	2.32E-01
maintenance of protein location in mast cell secretory granule (GO:0033370)	1	1	.26	+	3.78	2.32E-01
protease localization to mast cell secretory granule (GO:0033368)	1	1	.26	+	3.78	2.32E-01
protein localization to mast cell secretory granule (GO:0033367)	1	1	.26	+	3.78	2.32E-01
mast cell secretory granule organization (GO:0033364)	2	2	.53	+	3.78	9.91E-02
regulation of cellular response to drug (GO:2001038)	1	1	.26	+	3.78	2.32E-01
T cell homeostatic proliferation (GO:0001777)	1	1	.26	+	3.78	2.32E-01
