




Analysis Type:	PANTHER Overrepresentation Test (Released 20210224)
Annotation Version and Release Date:	GO Ontology database DOI:  10.5281/zenodo.4735677 Released 2021-05-01
Analyzed List:	upload_1 (Neurospora crassa)
Reference List:	neurospora_background.txt (Neurospora crassa)
Test Type:	BINOMIAL
Correction:	NONE
GO biological process complete	neurospora_background.txt - REFLIST (9012)	upload_1 (2982)	upload_1 (expected)	upload_1 (over/under)	upload_1 (fold Enrichment)	upload_1 (raw P-value)
lignin metabolic process (GO:0009808)	2	2	.66	+	3.02	1.43E-01
regulation of establishment of cell polarity (GO:2000114)	1	1	.33	+	3.02	2.82E-01
cytoplasmic translational elongation (GO:0002182)	1	1	.33	+	3.02	2.82E-01
circadian rhythm (GO:0007623)	1	1	.33	+	3.02	2.82E-01
positive regulation of mating-type specific transcription, DNA-templated (GO:0045895)	1	1	.33	+	3.02	2.82E-01
regulation of establishment or maintenance of bipolar cell polarity regulating cell shape (GO:2000100)	1	1	.33	+	3.02	2.82E-01
arginine catabolic process (GO:0006527)	2	2	.66	+	3.02	1.43E-01
phototransduction (GO:0007602)	1	1	.33	+	3.02	2.82E-01
regulation of protein serine/threonine phosphatase activity (GO:0080163)	3	3	.99	+	3.02	7.89E-02
siderophore transport (GO:0015891)	1	1	.33	+	3.02	2.82E-01
ketone body biosynthetic process (GO:0046951)	1	1	.33	+	3.02	2.82E-01
thiamine transport (GO:0015888)	2	2	.66	+	3.02	1.43E-01
pantothenate transmembrane transport (GO:0015887)	1	1	.33	+	3.02	2.82E-01
biotin transport (GO:0015878)	1	1	.33	+	3.02	2.82E-01
acetyl-CoA transport (GO:0015876)	1	1	.33	+	3.02	2.82E-01
cell cycle DNA replication termination (GO:1902294)	1	1	.33	+	3.02	2.82E-01
positive regulation of establishment or maintenance of cell polarity regulating cell shape (GO:2000771)	1	1	.33	+	3.02	2.82E-01
positive regulation of endoplasmic reticulum tubular network organization (GO:1903373)	1	1	.33	+	3.02	2.82E-01
regulation of endoplasmic reticulum tubular network organization (GO:1903371)	1	1	.33	+	3.02	2.82E-01
maintenance of RNA location (GO:0051237)	1	1	.33	+	3.02	2.82E-01
positive regulation of formation of translation preinitiation complex (GO:1901195)	1	1	.33	+	3.02	2.82E-01
regulation of formation of translation preinitiation complex (GO:1901193)	1	1	.33	+	3.02	2.82E-01
regulation of establishment or maintenance of cell polarity regulating cell shape (GO:2000769)	1	1	.33	+	3.02	2.82E-01
positive regulation of cytoplasmic translation (GO:2000767)	2	2	.66	+	3.02	1.43E-01
regulation of cytoplasmic translation (GO:2000765)	3	3	.99	+	3.02	7.89E-02
mitochondrial fragmentation involved in apoptotic process (GO:0043653)	1	1	.33	+	3.02	2.82E-01
positive regulation of (R)-carnitine transmembrane transport (GO:1902274)	1	1	.33	+	3.02	2.82E-01
regulation of (R)-carnitine transmembrane transport (GO:1902272)	1	1	.33	+	3.02	2.82E-01
peptidyl-lysine deglutarylation (GO:0061699)	1	1	.33	+	3.02	2.82E-01
protein deglutarylation (GO:0061698)	1	1	.33	+	3.02	2.82E-01
positive regulation of polyamine transmembrane transport (GO:1902269)	1	1	.33	+	3.02	2.82E-01
L-ornithine transmembrane transport (GO:1903352)	2	2	.66	+	3.02	1.43E-01
regulation of polyamine transmembrane transport (GO:1902267)	1	1	.33	+	3.02	2.82E-01
cell wall modification (GO:0042545)	1	1	.33	+	3.02	2.82E-01
histone arginine methylation (GO:0034969)	1	1	.33	+	3.02	2.82E-01
pyrimidine deoxyribonucleoside diphosphate biosynthetic process (GO:0009197)	2	2	.66	+	3.02	1.43E-01
pyrimidine deoxyribonucleoside diphosphate metabolic process (GO:0009196)	2	2	.66	+	3.02	1.43E-01
box H/ACA RNA processing (GO:0034964)	1	1	.33	+	3.02	2.82E-01
siderophore transmembrane transport (GO:0044718)	1	1	.33	+	3.02	2.82E-01
tyrosine transport (GO:0015828)	1	1	.33	+	3.02	2.82E-01
L-serine transport (GO:0015825)	1	1	.33	+	3.02	2.82E-01
ornithine transport (GO:0015822)	2	2	.66	+	3.02	1.43E-01
negative regulation of ATPase activity (GO:0032780)	2	2	.66	+	3.02	1.43E-01
succinate transmembrane transport (GO:0071422)	1	1	.33	+	3.02	2.82E-01
xylulose 5-phosphate biosynthetic process (GO:1901159)	1	1	.33	+	3.02	2.82E-01
deoxyribonucleoside diphosphate biosynthetic process (GO:0009189)	2	2	.66	+	3.02	1.43E-01
deoxyribonucleoside diphosphate metabolic process (GO:0009186)	2	2	.66	+	3.02	1.43E-01
negative regulation of ceramide biosynthetic process (GO:1900060)	1	1	.33	+	3.02	2.82E-01
L-cystine transport (GO:0015811)	1	1	.33	+	3.02	2.82E-01
p38MAPK cascade (GO:0038066)	1	1	.33	+	3.02	2.82E-01
cellular response to cycloheximide (GO:0071409)	1	1	.33	+	3.02	2.82E-01
cellular response to organic cyclic compound (GO:0071407)	1	1	.33	+	3.02	2.82E-01
cellular response to aldehyde (GO:0110096)	2	2	.66	+	3.02	1.43E-01
