




Analysis Type:	PANTHER Overrepresentation Test (Released 20210224)
Annotation Version and Release Date:	GO Ontology database DOI:  10.5281/zenodo.4735677 Released 2021-05-01
Analyzed List:	upload_1 (Saccharomyces cerevisiae)
Reference List:	yeast_background.txt (Saccharomyces cerevisiae)
Test Type:	BINOMIAL
Correction:	NONE
GO biological process complete	yeast_background.txt - REFLIST (4652)	upload_1 (3741)	upload_1 (expected)	upload_1 (over/under)	upload_1 (fold Enrichment)	upload_1 (raw P-value)
positive regulation of trehalose catabolic process (GO:1901319)	1	1	.80	+	1.24	5.53E-01
UDP metabolic process (GO:0046048)	2	2	1.61	+	1.24	4.78E-01
cyanamide metabolic process (GO:0018890)	2	2	1.61	+	1.24	4.78E-01
ITP metabolic process (GO:0046041)	1	1	.80	+	1.24	5.53E-01
maintenance of mitotic sister chromatid cohesion (GO:0034088)	1	1	.80	+	1.24	5.53E-01
7-methylguanosine cap hypermethylation (GO:0036261)	1	1	.80	+	1.24	5.53E-01
maintenance of sister chromatid cohesion (GO:0034086)	1	1	.80	+	1.24	5.53E-01
inter-Golgi cisterna vesicle-mediated transport (GO:0048219)	1	1	.80	+	1.24	5.53E-01
positive regulation of G2/MI transition of meiotic cell cycle (GO:0110032)	1	1	.80	+	1.24	5.53E-01
regulation of G2/MI transition of meiotic cell cycle (GO:0110030)	1	1	.80	+	1.24	5.53E-01
GMP metabolic process (GO:0046037)	8	8	6.43	+	1.24	3.17E-01
AMP metabolic process (GO:0046033)	8	8	6.43	+	1.24	3.17E-01
positive regulation of hydrogen peroxide-mediated programmed cell death (GO:1901300)	1	1	.80	+	1.24	5.53E-01
butanediol biosynthetic process (GO:0034079)	2	2	1.61	+	1.24	4.78E-01
establishment or maintenance of microtubule cytoskeleton polarity (GO:0030951)	1	1	.80	+	1.24	5.53E-01
butanediol metabolic process (GO:0034077)	2	2	1.61	+	1.24	4.78E-01
negative regulation of DNA strand resection involved in replication fork processing (GO:0110027)	1	1	.80	+	1.24	5.53E-01
regulation of DNA strand resection involved in replication fork processing (GO:0110026)	1	1	.80	+	1.24	5.53E-01
regulation of vesicle targeting, to, from or within Golgi (GO:0048209)	1	1	.80	+	1.24	5.53E-01
COPII vesicle coating (GO:0048208)	1	1	.80	+	1.24	5.53E-01
vesicle targeting, rough ER to cis-Golgi (GO:0048207)	1	1	.80	+	1.24	5.53E-01
COPI coating of Golgi vesicle (GO:0048205)	1	1	.80	+	1.24	5.53E-01
Golgi transport vesicle coating (GO:0048200)	1	1	.80	+	1.24	5.53E-01
actin filament debranching (GO:0071846)	1	1	.80	+	1.24	5.53E-01
protein localization to nuclear inner membrane (GO:0036228)	8	8	6.43	+	1.24	3.17E-01
peptidyl-serine acetylation (GO:0030920)	2	2	1.61	+	1.24	4.78E-01
contractile ring maintenance (GO:0036212)	2	2	1.61	+	1.24	4.78E-01
cell volume homeostasis (GO:0006884)	1	1	.80	+	1.24	5.53E-01
cellular sodium ion homeostasis (GO:0006883)	2	2	1.61	+	1.24	4.78E-01
purine nucleoside bisphosphate catabolic process (GO:0034034)	2	2	1.61	+	1.24	4.78E-01
ribonucleoside bisphosphate catabolic process (GO:0034031)	2	2	1.61	+	1.24	4.78E-01
protein splicing (GO:0030908)	1	1	.80	+	1.24	5.53E-01
cellular cobalt ion homeostasis (GO:0006877)	1	1	.80	+	1.24	5.53E-01
tail-anchored membrane protein insertion into ER membrane (GO:0071816)	1	1	.80	+	1.24	5.53E-01
pyrimidine nucleotide transport (GO:0006864)	1	1	.80	+	1.24	5.53E-01
mitochondrial pyruvate transmembrane transport (GO:0006850)	4	4	3.22	+	1.24	4.01E-01
plasma membrane pyruvate transport (GO:0006849)	1	1	.80	+	1.24	5.53E-01
acetate transport (GO:0006846)	4	4	3.22	+	1.24	4.01E-01
regulation of protein binding (GO:0043393)	1	1	.80	+	1.24	5.53E-01
peptidyl-tyrosine dephosphorylation involved in inactivation of protein kinase activity (GO:1990264)	1	1	.80	+	1.24	5.53E-01
pre-mRNA catabolic process (GO:1990261)	1	1	.80	+	1.24	5.53E-01
D-leucine catabolic process (GO:1900832)	1	1	.80	+	1.24	5.53E-01
D-leucine metabolic process (GO:1900831)	1	1	.80	+	1.24	5.53E-01
cobalt ion transport (GO:0006824)	2	2	1.61	+	1.24	4.78E-01
histone glutamine methylation (GO:1990258)	2	2	1.61	+	1.24	4.78E-01
D-tyrosine catabolic process (GO:1900829)	1	1	.80	+	1.24	5.53E-01
D-tyrosine metabolic process (GO:1900828)	1	1	.80	+	1.24	5.53E-01
regulation of transcription from RNA polymerase II promoter in response to DNA damage (GO:1990248)	1	1	.80	+	1.24	5.53E-01
nitric oxide biosynthetic process (GO:0006809)	1	1	.80	+	1.24	5.53E-01
superoxide metabolic process (GO:0006801)	8	8	6.43	+	1.24	3.17E-01
response to aluminum ion (GO:0010044)	1	1	.80	+	1.24	5.53E-01
response to zinc ion (GO:0010043)	1	1	.80	+	1.24	5.53E-01
proteasome core complex import into nucleus (GO:1990236)	1	1	.80	+	1.24	5.53E-01
response to carbon dioxide (GO:0010037)	2	2	1.61	+	1.24	4.78E-01
