




Analysis Type:	PANTHER Overrepresentation Test (Released 20210224)
Annotation Version and Release Date:	GO Ontology database DOI:  10.5281/zenodo.4735677 Released 2021-05-01
Analyzed List:	upload_1 (Saccharomyces cerevisiae)
Reference List:	yeast_background.txt (Saccharomyces cerevisiae)
Test Type:	BINOMIAL
Correction:	NONE
GO biological process complete	yeast_background.txt - REFLIST (4652)	upload_1 (3142)	upload_1 (expected)	upload_1 (over/under)	upload_1 (fold Enrichment)	upload_1 (raw P-value)
positive regulation of cell differentiation (GO:0045597)	7	7	4.73	+	1.48	1.99E-01
mitochondrial citrate transmembrane transport (GO:0006843)	3	3	2.03	+	1.48	3.30E-01
tricarboxylic acid transport (GO:0006842)	3	3	2.03	+	1.48	3.30E-01
meiotic spindle organization (GO:0000212)	5	5	3.38	+	1.48	2.51E-01
gamma-aminobutyric acid catabolic process (GO:0009450)	3	3	2.03	+	1.48	3.30E-01
gamma-aminobutyric acid metabolic process (GO:0009448)	3	3	2.03	+	1.48	3.30E-01
alditol phosphate metabolic process (GO:0052646)	5	5	3.38	+	1.48	2.51E-01
regulation of mitotic spindle organization (GO:0060236)	5	5	3.38	+	1.48	2.51E-01
protein-tetrapyrrole linkage (GO:0017006)	3	3	2.03	+	1.48	3.30E-01
protein-heme linkage (GO:0017003)	3	3	2.03	+	1.48	3.30E-01
polyphosphate biosynthetic process (GO:0006799)	3	3	2.03	+	1.48	3.30E-01
mitotic DNA replication preinitiation complex assembly (GO:1902977)	3	3	2.03	+	1.48	3.30E-01
protein import into peroxisome matrix, receptor recycling (GO:0016562)	3	3	2.03	+	1.48	3.30E-01
heme A biosynthetic process (GO:0006784)	3	3	2.03	+	1.48	3.30E-01
NADP biosynthetic process (GO:0006741)	3	3	2.03	+	1.48	3.30E-01
NADH regeneration (GO:0006735)	3	3	2.03	+	1.48	3.30E-01
tricarboxylic acid transmembrane transport (GO:0035674)	3	3	2.03	+	1.48	3.30E-01
maintenance of translational fidelity (GO:1990145)	5	5	3.38	+	1.48	2.51E-01
stress granule disassembly (GO:0035617)	3	3	2.03	+	1.48	3.30E-01
response to amino acid (GO:0043200)	5	5	3.38	+	1.48	2.51E-01
mitochondrial ATP synthesis coupled proton transport (GO:0042776)	3	3	2.03	+	1.48	3.30E-01
negative regulation of meiotic DNA double-strand break formation (GO:1903342)	3	3	2.03	+	1.48	3.30E-01
regulation of meiotic DNA double-strand break formation (GO:1903341)	7	7	4.73	+	1.48	1.99E-01
protein localization to microtubule organizing center (GO:1905508)	3	3	2.03	+	1.48	3.30E-01
long-chain fatty acid biosynthetic process (GO:0042759)	3	3	2.03	+	1.48	3.30E-01
protein insertion into mitochondrial inner membrane from matrix (GO:0032979)	6	6	4.05	+	1.48	2.23E-01
protein insertion into membrane from inner side (GO:0032978)	6	6	4.05	+	1.48	2.23E-01
negative regulation of mRNA metabolic process (GO:1903312)	7	7	4.73	+	1.48	1.99E-01
D-xylose metabolic process (GO:0042732)	6	6	4.05	+	1.48	2.23E-01
regulation of mRNA splicing, via spliceosome (GO:0048024)	3	3	2.03	+	1.48	3.30E-01
negative regulation of transcription by RNA polymerase III (GO:0016480)	5	5	3.38	+	1.48	2.51E-01
phosphatidylethanolamine biosynthetic process (GO:0006646)	6	6	4.05	+	1.48	2.23E-01
sulfur amino acid catabolic process (GO:0000098)	3	3	2.03	+	1.48	3.30E-01
maltose catabolic process (GO:0000025)	5	5	3.38	+	1.48	2.51E-01
GDP-mannose biosynthetic process (GO:0009298)	3	3	2.03	+	1.48	3.30E-01
snRNA pseudouridine synthesis (GO:0031120)	7	7	4.73	+	1.48	1.99E-01
mitotic morphogenesis checkpoint signaling (GO:0044879)	7	7	4.73	+	1.48	1.99E-01
microtubule polymerization or depolymerization (GO:0031109)	11	11	7.43	+	1.48	1.32E-01
protein lipoylation (GO:0009249)	5	5	3.38	+	1.48	2.51E-01
regulation of mitotic spindle elongation (GO:0032888)	3	3	2.03	+	1.48	3.30E-01
regulation of spindle elongation (GO:0032887)	3	3	2.03	+	1.48	3.30E-01
positive regulation of stress-activated MAPK cascade (GO:0032874)	3	3	2.03	+	1.48	3.30E-01
regulation of stress-activated MAPK cascade (GO:0032872)	3	3	2.03	+	1.48	3.30E-01
regulation of response to reactive oxygen species (GO:1901031)	3	3	2.03	+	1.48	3.30E-01
regulation of hydrogen peroxide-induced cell death (GO:1903205)	3	3	2.03	+	1.48	3.30E-01
regulation of oxidative stress-induced cell death (GO:1903201)	3	3	2.03	+	1.48	3.30E-01
microtubule depolymerization (GO:0007019)	5	5	3.38	+	1.48	2.51E-01
nucleolus organization (GO:0007000)	5	5	3.38	+	1.48	2.51E-01
polyamine catabolic process (GO:0006598)	3	3	2.03	+	1.48	3.30E-01
polyamine metabolic process (GO:0006595)	7	7	4.73	+	1.48	1.99E-01
phospholipid homeostasis (GO:0055091)	3	3	2.03	+	1.48	3.30E-01
threonine catabolic process (GO:0006567)	3	3	2.03	+	1.48	3.30E-01
L-serine biosynthetic process (GO:0006564)	5	5	3.38	+	1.48	2.51E-01
S-adenosylmethionine biosynthetic process (GO:0006556)	3	3	2.03	+	1.48	3.30E-01
leucine catabolic process (GO:0006552)	3	3	2.03	+	1.48	3.30E-01
translation reinitiation (GO:0002188)	6	6	4.05	+	1.48	2.23E-01
glutamate catabolic process (GO:0006538)	3	3	2.03	+	1.48	3.30E-01
positive regulation of phosphatidylcholine metabolic process (GO:0150173)	3	3	2.03	+	1.48	3.30E-01
regulation of phosphatidylcholine metabolic process (GO:0150172)	5	5	3.38	+	1.48	2.51E-01
tRNA wobble position uridine thiolation (GO:0002143)	6	6	4.05	+	1.48	2.23E-01
lipid import into cell (GO:0140354)	3	3	2.03	+	1.48	3.30E-01
positive regulation of phosphatidylcholine biosynthetic process (GO:2001247)	3	3	2.03	+	1.48	3.30E-01
regulation of phosphatidylcholine biosynthetic process (GO:2001245)	5	5	3.38	+	1.48	2.51E-01
histone-threonine phosphorylation (GO:0035405)	3	3	2.03	+	1.48	3.30E-01
purine ribonucleoside diphosphate biosynthetic process (GO:0009180)	3	3	2.03	+	1.48	3.30E-01
pyrimidine deoxyribonucleoside monophosphate biosynthetic process (GO:0009177)	3	3	2.03	+	1.48	3.30E-01
pyrimidine deoxyribonucleoside monophosphate metabolic process (GO:0009176)	3	3	2.03	+	1.48	3.30E-01
phenylalanine transport (GO:0015823)	3	3	2.03	+	1.48	3.30E-01
deoxyribonucleoside monophosphate metabolic process (GO:0009162)	5	5	3.38	+	1.48	2.51E-01
deoxyribonucleoside monophosphate biosynthetic process (GO:0009157)	3	3	2.03	+	1.48	3.30E-01
response to hypoxia (GO:0001666)	5	5	3.38	+	1.48	2.51E-01
purine nucleoside diphosphate biosynthetic process (GO:0009136)	3	3	2.03	+	1.48	3.30E-01
cellular response to superoxide (GO:0071451)	7	7	4.73	+	1.48	1.99E-01
cellular response to oxygen radical (GO:0071450)	7	7	4.73	+	1.48	1.99E-01
positive regulation of division septum assembly (GO:0010973)	3	3	2.03	+	1.48	3.30E-01
regulation of phosphate transport (GO:0010966)	3	3	2.03	+	1.48	3.30E-01
negative regulation of endopeptidase activity (GO:0010951)	3	3	2.03	+	1.48	3.30E-01
telomere capping (GO:0016233)	7	7	4.73	+	1.48	1.99E-01
positive regulation of receptor internalization (GO:0002092)	3	3	2.03	+	1.48	3.30E-01
regulation of receptor internalization (GO:0002090)	3	3	2.03	+	1.48	3.30E-01
phenylalanyl-tRNA aminoacylation (GO:0006432)	3	3	2.03	+	1.48	3.30E-01
mitotic division septum assembly (GO:0140278)	3	3	2.03	+	1.48	3.30E-01
regulation of cellular response to oxidative stress (GO:1900407)	3	3	2.03	+	1.48	3.30E-01
cell septum assembly (GO:0090529)	12	12	8.10	+	1.48	1.19E-01
negative regulation of reciprocal meiotic recombination (GO:0045128)	3	3	2.03	+	1.48	3.30E-01
UDP-glucose transmembrane transport (GO:0015786)	3	3	2.03	+	1.48	3.30E-01
nucleotide-sugar transmembrane transport (GO:0015780)	5	5	3.38	+	1.48	2.51E-01
fatty-acyl-CoA metabolic process (GO:0035337)	3	3	2.03	+	1.48	3.30E-01
long-chain fatty-acyl-CoA metabolic process (GO:0035336)	3	3	2.03	+	1.48	3.30E-01
histone H3 deacetylation (GO:0070932)	7	7	4.73	+	1.48	1.99E-01
sucrose catabolic process (GO:0005987)	6	6	4.05	+	1.48	2.23E-01
sucrose metabolic process (GO:0005985)	7	7	4.73	+	1.48	1.99E-01
response to cycloheximide (GO:0046898)	3	3	2.03	+	1.48	3.30E-01
aromatic amino acid family biosynthetic process, prephenate pathway (GO:0009095)	5	5	3.38	+	1.48	2.51E-01
positive regulation of RNA splicing (GO:0033120)	3	3	2.03	+	1.48	3.30E-01
homoserine biosynthetic process (GO:0009090)	3	3	2.03	+	1.48	3.30E-01
citrate transport (GO:0015746)	3	3	2.03	+	1.48	3.30E-01
lysine biosynthetic process (GO:0009085)	14	14	9.46	+	1.48	9.88E-02
lipid phosphorylation (GO:0046834)	3	3	2.03	+	1.48	3.30E-01
positive regulation of nucleocytoplasmic transport (GO:0046824)	5	5	3.38	+	1.48	2.51E-01
positive regulation of RNA binding (GO:1905216)	3	3	2.03	+	1.48	3.30E-01
regulation of RNA binding (GO:1905214)	3	3	2.03	+	1.48	3.30E-01
positive regulation of ascospore-type prospore membrane formation (GO:1903024)	3	3	2.03	+	1.48	3.30E-01
regulation of ascospore-type prospore membrane formation (GO:1903023)	3	3	2.03	+	1.48	3.30E-01
medium-chain fatty acid catabolic process (GO:0051793)	3	3	2.03	+	1.48	3.30E-01
medium-chain fatty acid biosynthetic process (GO:0051792)	3	3	2.03	+	1.48	3.30E-01
medium-chain fatty acid metabolic process (GO:0051791)	3	3	2.03	+	1.48	3.30E-01
mitochondrial transcription (GO:0006390)	3	3	2.03	+	1.48	3.30E-01
negative regulation of protein localization to nucleolus (GO:1904750)	5	5	3.38	+	1.48	2.51E-01
regulation of protein localization to nucleolus (GO:1904749)	6	6	4.05	+	1.48	2.23E-01
pyrimidine nucleotide-sugar transmembrane transport (GO:0090481)	3	3	2.03	+	1.48	3.30E-01
DNA replication-dependent nucleosome assembly (GO:0006335)	5	5	3.38	+	1.48	2.51E-01
mitochondrial tRNA wobble uridine modification (GO:0070899)	3	3	2.03	+	1.48	3.30E-01
DNA catabolic process (GO:0006308)	3	3	2.03	+	1.48	3.30E-01
protein insertion into mitochondrial inner membrane (GO:0045039)	12	12	8.10	+	1.48	1.19E-01
hydrogen sulfide biosynthetic process (GO:0070814)	6	6	4.05	+	1.48	2.23E-01
hydrogen sulfide metabolic process (GO:0070813)	6	6	4.05	+	1.48	2.23E-01
microtubule polymerization (GO:0046785)	6	6	4.05	+	1.48	2.23E-01
long-chain fatty acid import into cell (GO:0044539)	3	3	2.03	+	1.48	3.30E-01
fructose 1,6-bisphosphate metabolic process (GO:0030388)	3	3	2.03	+	1.48	3.30E-01
DNA replication-dependent nucleosome organization (GO:0034723)	5	5	3.38	+	1.48	2.51E-01
positive regulation of protein import into nucleus (GO:0042307)	3	3	2.03	+	1.48	3.30E-01
cellular response to metal ion (GO:0071248)	5	5	3.38	+	1.48	2.51E-01
nucleotide-excision repair, DNA gap filling (GO:0006297)	3	3	2.03	+	1.48	3.30E-01
premeiotic DNA replication (GO:0006279)	6	6	4.05	+	1.48	2.23E-01
DNA replication, synthesis of RNA primer (GO:0006269)	3	3	2.03	+	1.48	3.30E-01
positive regulation of cell development (GO:0010720)	3	3	2.03	+	1.48	3.30E-01
division septum assembly (GO:0000917)	12	12	8.10	+	1.48	1.19E-01
response to antibiotic (GO:0046677)	6	6	4.05	+	1.48	2.23E-01
autophagosome maturation (GO:0097352)	3	3	2.03	+	1.48	3.30E-01
fatty acid elongation, polyunsaturated fatty acid (GO:0034626)	3	3	2.03	+	1.48	3.30E-01
fatty acid elongation, monounsaturated fatty acid (GO:0034625)	3	3	2.03	+	1.48	3.30E-01
protein urmylation (GO:0032447)	7	7	4.73	+	1.48	1.99E-01
positive regulation of protein import (GO:1904591)	3	3	2.03	+	1.48	3.30E-01
DNA replication preinitiation complex assembly (GO:0071163)	3	3	2.03	+	1.48	3.30E-01
positive regulation of mitotic spindle pole body separation (GO:0010696)	7	7	4.73	+	1.48	1.99E-01
regulation of mitotic spindle pole body separation (GO:0010695)	9	9	6.08	+	1.48	1.61E-01
negative regulation of mRNA catabolic process (GO:1902373)	6	6	4.05	+	1.48	2.23E-01
'de novo' IMP biosynthetic process (GO:0006189)	9	9	6.08	+	1.48	1.61E-01
negative regulation of RNA catabolic process (GO:1902369)	6	6	4.05	+	1.48	2.23E-01
AMP biosynthetic process (GO:0006167)	5	5	3.38	+	1.48	2.51E-01
positive regulation of sexual sporulation resulting in formation of a cellular spore (GO:0043941)	3	3	2.03	+	1.48	3.30E-01
negative regulation of nuclear-transcribed mRNA catabolic process, deadenylation-dependent decay (GO:1900152)	3	3	2.03	+	1.48	3.30E-01
purine nucleobase catabolic process (GO:0006145)	3	3	2.03	+	1.48	3.30E-01
positive regulation of sporulation (GO:0043938)	3	3	2.03	+	1.48	3.30E-01
regulation of arginine metabolic process (GO:0000821)	3	3	2.03	+	1.48	3.30E-01
regulation of glycolytic process (GO:0006110)	3	3	2.03	+	1.48	3.30E-01
lysine biosynthetic process via aminoadipic acid (GO:0019878)	11	11	7.43	+	1.48	1.32E-01
regulation of spindle organization (GO:0090224)	6	6	4.05	+	1.48	2.23E-01
positive regulation of cell septum assembly (GO:1901893)	3	3	2.03	+	1.48	3.30E-01
negative regulation of Rho protein signal transduction (GO:0035024)	5	5	3.38	+	1.48	2.51E-01
positive regulation of cellular respiration (GO:1901857)	3	3	2.03	+	1.48	3.30E-01
mitochondrial respirasome assembly (GO:0097250)	3	3	2.03	+	1.48	3.30E-01
aminoacyl-tRNA metabolism involved in translational fidelity (GO:0106074)	10	10	6.75	+	1.48	1.45E-01
histone displacement (GO:0001207)	5	5	3.38	+	1.48	2.51E-01
protein localization to nucleolar rDNA repeats (GO:0034503)	3	3	2.03	+	1.48	3.30E-01
cytochrome c-heme linkage (GO:0018063)	3	3	2.03	+	1.48	3.30E-01
regulation of cytosolic calcium ion concentration (GO:0051480)	3	3	2.03	+	1.48	3.30E-01
peptidyl-lysine dimethylation (GO:0018027)	6	6	4.05	+	1.48	2.23E-01
positive regulation of meiotic cell cycle (GO:0051446)	9	9	6.08	+	1.48	1.61E-01
positive regulation of ubiquitin-protein transferase activity (GO:0051443)	5	5	3.38	+	1.48	2.51E-01
regulation of reciprocal meiotic recombination (GO:0010520)	6	6	4.05	+	1.48	2.23E-01
spermine metabolic process (GO:0008215)	3	3	2.03	+	1.48	3.30E-01
regulation of spindle assembly (GO:0090169)	5	5	3.38	+	1.48	2.51E-01
nucleotide-excision repair, DNA damage recognition (GO:0000715)	3	3	2.03	+	1.48	3.30E-01
mannose metabolic process (GO:0006013)	5	5	3.38	+	1.48	2.51E-01
protein localization to cell division site (GO:0072741)	6	6	4.05	+	1.48	2.23E-01
regulation of anion transmembrane transport (GO:1903959)	3	3	2.03	+	1.48	3.30E-01
acylglycerol biosynthetic process (GO:0046463)	3	3	2.03	+	1.48	3.30E-01
neutral lipid biosynthetic process (GO:0046460)	3	3	2.03	+	1.48	3.30E-01
short-chain fatty acid metabolic process (GO:0046459)	6	6	4.05	+	1.48	2.23E-01
chorismate metabolic process (GO:0046417)	5	5	3.38	+	1.48	2.51E-01
AMP salvage (GO:0044209)	3	3	2.03	+	1.48	3.30E-01
cell projection assembly (GO:0030031)	5	5	3.38	+	1.48	2.51E-01
cell projection organization (GO:0030030)	5	5	3.38	+	1.48	2.51E-01
negative regulation of peptidase activity (GO:0010466)	3	3	2.03	+	1.48	3.30E-01
cellular potassium ion homeostasis (GO:0030007)	5	5	3.38	+	1.48	2.51E-01
P-body assembly (GO:0033962)	6	6	4.05	+	1.48	2.23E-01
protein localization to microtubule cytoskeleton (GO:0072698)	5	5	3.38	+	1.48	2.51E-01
GDP-mannose metabolic process (GO:0019673)	3	3	2.03	+	1.48	3.30E-01
regulation of protein kinase C signaling (GO:0090036)	3	3	2.03	+	1.48	3.30E-01
response to ketone (GO:1901654)	3	3	2.03	+	1.48	3.30E-01
regulation of meiosis I (GO:0060631)	3	3	2.03	+	1.48	3.30E-01
positive regulation of ascospore formation (GO:0075296)	3	3	2.03	+	1.48	3.30E-01
glucose import (GO:0046323)	3	3	2.03	+	1.48	3.30E-01
regulation of phosphate transmembrane transport (GO:2000185)	3	3	2.03	+	1.48	3.30E-01
positive regulation of sporulation resulting in formation of a cellular spore (GO:0045881)	3	3	2.03	+	1.48	3.30E-01
regulation of establishment of cell polarity (GO:2000114)	3	3	2.03	+	1.48	3.30E-01
mitochondrial fusion (GO:0008053)	5	5	3.38	+	1.48	2.51E-01
mitochondrial tricarboxylic acid transmembrane transport (GO:1990546)	3	3	2.03	+	1.48	3.30E-01
meiotic spindle disassembly (GO:0051229)	3	3	2.03	+	1.48	3.30E-01
arabinose catabolic process (GO:0019568)	5	5	3.38	+	1.48	2.51E-01
arabinose metabolic process (GO:0019566)	5	5	3.38	+	1.48	2.51E-01
regulation of inorganic anion transmembrane transport (GO:1903795)	3	3	2.03	+	1.48	3.30E-01
pyrimidine-containing compound transmembrane transport (GO:0072531)	5	5	3.38	+	1.48	2.51E-01
D-gluconate metabolic process (GO:0019521)	3	3	2.03	+	1.48	3.30E-01
aldonic acid metabolic process (GO:0019520)	3	3	2.03	+	1.48	3.30E-01
fatty acid derivative metabolic process (GO:1901568)	3	3	2.03	+	1.48	3.30E-01
positive regulation of stress-activated protein kinase signaling cascade (GO:0070304)	3	3	2.03	+	1.48	3.30E-01
regulation of stress-activated protein kinase signaling cascade (GO:0070302)	3	3	2.03	+	1.48	3.30E-01
gene conversion at mating-type locus (GO:0007534)	3	3	2.03	+	1.48	3.30E-01
